Distance_(microns),Gray_Value
532.910,50.0526
533.270,48.0812
533.630,45.2800
533.990,42.3999
534.351,40.9264
534.711,41.0589
535.071,42.2272
535.432,44.9151
535.792,46.8277
536.152,48.4207
536.513,49.8882
536.873,51.7766
537.233,53.1441
537.594,53.6098
537.954,52.1466
538.314,51.0215
538.675,50.4186
539.035,49.5078
539.395,49.0791
539.756,48.1838
540.116,46.4496
540.476,47.5490
540.836,46.4618
541.197,50.4042
541.557,52.5662
541.917,54.8696
542.278,57.7071
542.638,57.3023
542.998,57.4510
543.359,57.0818
543.719,55.6262
544.079,54.9629
544.440,53.5921
544.800,50.9793
545.160,50.9125
545.521,51.4491
545.881,49.0764
546.241,50.1824
546.602,49.3866
546.962,49.0154
547.322,50.2133
547.683,50.5396
548.043,50.9667
548.403,51.3731
548.763,52.7901
549.124,54.1038
549.484,53.6036
549.844,52.8530
550.205,51.1475
550.565,49.4959
550.925,47.0974
551.286,45.6724
551.646,47.4623
552.006,48.2396
552.367,48.5924
552.727,50.2206
553.087,51.1747
553.448,54.6069
553.808,56.7019
554.168,56.3691
554.529,56.0145
554.889,55.3774
555.249,54.2642
555.609,52.5419
555.970,50.2810
556.330,50.1854
